class_id  id name    bbox_num
n02691156 1 airplane 26387
n02419796 2 antelope 7968
n02131653 3 bear     9780
n02834778 4 bicycle  8854
n01503061 5 bird 	 9862
n02924116 6 bus		 6313
n02958343 7 car		 26690
n02402425 8 cattle   11365
n02084071 9 dog      20237
n02121808 10 domestic_cat 11629
n02503517 11 elephant 11934
n02118333 12 fox     9092
n02510455 13 giant_panda  7593
n02342885 14 hamster 5476
n02374451 15 horse   7939
n02129165 16 lion    2840
n01674464 17 lizard  5972
n02484322 18 monkey  10654
n03790512 19 motorcycle 1139
n02324045 20 rabbit  5898
n02509815 21 red_panda 1149
n02411705 22 sheep   4405
n01726692 23 snake   6393
n02355227 24 squirrel 12088
n02129604 25 tiger   2614
n04468005 26 train   13095
n01662784 27 turtle  5761
n04530566 28 watercraft 6089
n02062744 29 whale   7379
n02391049 30 zebra   6910
																													
